区市町村名,学校名,偏差値,募集人員男,募集人員女,募集人員計,最終応募人員男,最終応募人員女,最終応募人員計,最終応募倍率男,最終応募倍率女,最終応募倍率計,m1,m2,P(i1|m1),"P(i1,m1)",P(i2|m1),"P(i2,m1)",P(i1|m2),"P(i1,m2)",P(i2|m2),"P(i2,m2)",H(I|M),H(M),H(I)
千代田,日比谷,71,133,121,254,344,237,581,2.59,1.96,2.29,0.007328826,0.992671174,0.407917384,0.002989555,0.592082616,0.00433927,0.476585517,0.473092705,0.523414483,0.519578469,0.998248805,0.062511936,1.060760741
港,三田,63,124,113,237,177,228,405,1.43,2.02,1.71,0.005108734,0.994891266,0.562962963,0.002876028,0.437037037,0.002232706,0.476585517,0.474150768,0.523414483,0.520740498,0.998367033,0.046243351,1.044610384
新宿,戸山,70,132,121,253,260,230,490,1.97,1.9,1.94,0.006180937,0.993819063,0.469387755,0.002901256,0.530612245,0.003279681,0.476585517,0.473639772,0.523414483,0.520179291,0.998410599,0.054245056,1.052655655
文京,竹早,66,93,85,178,151,187,338,1.62,2.2,1.9,0.004263585,0.995736415,0.553254438,0.002358848,0.446745562,0.001904738,0.476585517,0.474553554,0.523414483,0.521182861,0.998389332,0.039708188,1.03809752
,向丘,53,132,121,253,186,190,376,1.41,1.57,1.49,0.004742923,0.995257077,0.505319149,0.00239669,0.494680851,0.002346233,0.476585517,0.474325108,0.523414483,0.520931968,0.998424659,0.043441745,1.041866404
台東,上野,59,132,121,253,242,216,458,1.83,1.79,1.81,0.005777284,0.994222716,0.471615721,0.002724658,0.528384279,0.003052626,0.476585517,0.473832147,0.523414483,0.520390569,0.998413246,0.051267115,1.049680361
墨田,日本橋,43,111,101,212,127,144,271,1.14,1.43,1.28,0.003418437,0.996581563,0.531365314,0.001816439,0.468634686,0.001601998,0.476585517,0.47495634,0.523414483,0.521625224,0.99841324,0.032928687,1.031341928
,本所,51,116,106,222,158,152,310,1.36,1.43,1.4,0.003910389,0.996089611,0.490322581,0.001917352,0.509677419,0.001993037,0.476585517,0.474721882,0.523414483,0.521367729,0.998422672,0.036907592,1.035330264
江東,城東,60,132,121,253,231,226,457,1.75,1.87,1.81,0.00576467,0.99423533,0.49452954,0.0028508,0.50547046,0.002913871,0.476585517,0.473838159,0.523414483,0.520397171,0.998426165,0.05117341,1.049599575
,東,51,116,106,222,192,176,368,1.66,1.66,1.66,0.00464201,0.99535799,0.47826087,0.002220092,0.52173913,0.002421918,0.476585517,0.474373202,0.523414483,0.520984788,0.998418555,0.042661819,1.041080374
,深川,56,97,88,185,183,174,357,1.89,1.98,1.93,0.004503254,0.995496746,0.487394958,0.002194864,0.512605042,0.002308391,0.476585517,0.474439331,0.523414483,0.521057414,0.998422602,0.041584214,1.040006816
品川,大崎,45,116,106,222,192,141,333,1.66,1.33,1.5,0.004200515,0.995799485,0.423423423,0.001778596,0.576576577,0.002421918,0.476585517,0.474583613,0.523414483,0.521215873,0.998352835,0.039211296,1.037564131
,小山台,68,132,121,253,197,186,383,1.49,1.54,1.51,0.004831223,0.995168777,0.485639687,0.002346233,0.514360313,0.002484989,0.476585517,0.474283026,0.523414483,0.520885751,0.998422311,0.044121625,1.042543936
目黒,駒場,67,132,121,253,201,205,406,1.52,1.69,1.6,0.005121348,0.994878652,0.504926108,0.002585902,0.495073892,0.002535446,0.476585517,0.474144757,0.523414483,0.520733895,0.998425287,0.046339265,1.044764551
,目黒,57,100,91,191,229,181,410,2.29,1.99,2.15,0.005171805,0.994828195,0.441463415,0.002283163,0.558536585,0.002888642,0.476585517,0.47412071,0.523414483,0.520707485,0.998374474,0.04672247,1.045096944
,蒲田,35,46,41,87,78,55,133,1.7,1.34,1.53,0.001677683,0.998322317,0.413533835,0.000693779,0.586466165,0.000983904,0.476585517,0.475785958,0.523414483,0.522536359,0.998383822,0.01788544,1.016269262
,田園調布,54,89,81,170,180,170,350,2.02,2.1,2.06,0.004414955,0.995585045,0.485714286,0.002144407,0.514285714,0.002270548,0.476585517,0.474481413,0.523414483,0.521103631,0.998421927,0.04089525,1.039317178
,雪谷,55,116,106,222,231,183,414,1.99,1.73,1.86,0.005222261,0.994777739,0.442028986,0.002308391,0.557971014,0.002913871,0.476585517,0.474096663,0.523414483,0.520681076,0.998375052,0.04710496,1.045480012
